PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34430593","Skin wound healing promoted by novel curcumin-loaded micelle hydrogel","Zhou P, Zhou H, Shu J, Fu S, Yang Z.","Ann Transl Med. 2021 Jul;9(14):1152. doi: 10.21037/atm-21-2872.","Zhou P","Ann Transl Med","2021","2021/08/25","PMC8350667","","10.21037/atm-21-2872"
"35175613","Role of Graphene Family Nanomaterials in Skin Wound Healing and Regeneration","Raja IS, Jang HJ, Kang MS, Kim KS, Choi YS, Jeon JR, Lee JH, Han DW.","Adv Exp Med Biol. 2022;1351:89-105. doi: 10.1007/978-981-16-4923-3_5.","Raja IS","Adv Exp Med Biol","2022","2022/02/17","","","10.1007/978-981-16-4923-3_5"
"37784137","Biomolecular and cellular effects in skin wound healing: the association between ascorbic acid and hypoxia-induced factor","Ghahremani-Nasab M, Del Bakhshayesh AR, Akbari-Gharalari N, Mehdipour A.","J Biol Eng. 2023 Oct 2;17(1):62. doi: 10.1186/s13036-023-00380-6.","Ghahremani-Nasab M","J Biol Eng","2023","2023/10/02","PMC10546749","","10.1186/s13036-023-00380-6"
"23746929","Epithelial mechanobiology, skin wound healing, and the stem cell niche","Evans ND, Oreffo RO, Healy E, Thurner PJ, Man YH.","J Mech Behav Biomed Mater. 2013 Dec;28:397-409. doi: 10.1016/j.jmbbm.2013.04.023. Epub 2013 May 14.","Evans ND","J Mech Behav Biomed Mater","2013","2013/06/11","","","10.1016/j.jmbbm.2013.04.023"
"34684703","Beneficial Effects of Green Tea EGCG on Skin Wound Healing: A Comprehensive Review","Xu FW, Lv YL, Zhong YF, Xue YN, Wang Y, Zhang LY, Hu X, Tan WQ.","Molecules. 2021 Oct 11;26(20):6123. doi: 10.3390/molecules26206123.","Xu FW","Molecules","2021","2021/10/23","PMC8540743","","10.3390/molecules26206123"
"36551280","Silk Fibroin Biomaterials and Their Beneficial Role in Skin Wound Healing","Mazurek Ł, Szudzik M, Rybka M, Konop M.","Biomolecules. 2022 Dec 12;12(12):1852. doi: 10.3390/biom12121852.","Mazurek Ł","Biomolecules","2022","2022/12/23","PMC9775069","","10.3390/biom12121852"
"28894637","Epidermal Stem Cells in Skin Wound Healing","Li Y, Zhang J, Yue J, Gou X, Wu X.","Adv Wound Care (New Rochelle). 2017 Sep 1;6(9):297-307. doi: 10.1089/wound.2017.0728.","Li Y","Adv Wound Care (New Rochelle)","2017","2017/09/13","PMC5592843","","10.1089/wound.2017.0728"
"37213350","Autophagy-Modulated Biomaterial: A Robust Weapon for Modulating the Wound Environment to Promote Skin Wound Healing","Zhang J, Li L, Yu J, Zhang F, Shi J, Li M, Liu J, Li H, Gao J, Wu Y.","Int J Nanomedicine. 2023 May 15;18:2567-2588. doi: 10.2147/IJN.S398107. eCollection 2023.","Zhang J","Int J Nanomedicine","2023","2023/05/22","PMC10198186","","10.2147/IJN.S398107"
"31661475","[Proinflammatory Cytokines and Skin Wound Healing in Mice]","Nosenko MA, Ambaryan SG, Drutskaya MS.","Mol Biol (Mosk). 2019 Sep-Oct;53(5):741-754. doi: 10.1134/S0026898419050136.","Nosenko MA","Mol Biol (Mosk)","2019","2019/10/30","","","10.1134/S0026898419050136"
"35783522","Porcine Fibrin Sealant Promotes Skin Wound Healing in Rats","Zhang L, Liu L, Zhang J, Zhou P.","Evid Based Complement Alternat Med. 2022 Jun 23;2022:5063625. doi: 10.1155/2022/5063625. eCollection 2022.","Zhang L","Evid Based Complement Alternat Med","2022","2022/07/05","PMC9246592","","10.1155/2022/5063625"
"36426946","Monocyte/Macrophage Heterogeneity during Skin Wound Healing in Mice","Pang J, Maienschein-Cline M, Koh TJ.","J Immunol. 2022 Nov 15;209(10):1999-2011. doi: 10.4049/jimmunol.2200365.","Pang J","J Immunol","2022","2022/11/25","PMC9643652","NIHMS1835981","10.4049/jimmunol.2200365"
"36787444","Hair follicle mesenchymal stem cell exosomal lncRNA H19 inhibited NLRP3 pyroptosis to promote diabetic mouse skin wound healing","Yang H, Zhang Y, Du Z, Wu T, Yang C.","Aging (Albany NY). 2023 Feb 14;15(3):791-809. doi: 10.18632/aging.204513. Epub 2023 Feb 14.","Yang H","Aging (Albany NY)","2023","2023/02/14","PMC9970314","","10.18632/aging.204513"
"36687556","Epigenetic regulation of macrophage polarization in wound healing","Chen C, Liu T, Tang Y, Luo G, Liang G, He W.","Burns Trauma. 2023 Jan 17;11:tkac057. doi: 10.1093/burnst/tkac057. eCollection 2023.","Chen C","Burns Trauma","2023","2023/01/23","PMC9844119","","10.1093/burnst/tkac057"
"35186924","Thy-1 (CD90), Integrins and Syndecan 4 are Key Regulators of Skin Wound Healing","Pérez LA, Leyton L, Valdivia A.","Front Cell Dev Biol. 2022 Feb 3;10:810474. doi: 10.3389/fcell.2022.810474. eCollection 2022.","Pérez LA","Front Cell Dev Biol","2022","2022/02/21","PMC8851320","","10.3389/fcell.2022.810474"
"35575243","Advances in modified hyaluronic acid-based hydrogels for skin wound healing","Ding YW, Wang ZY, Ren ZW, Zhang XW, Wei DX.","Biomater Sci. 2022 Jun 28;10(13):3393-3409. doi: 10.1039/d2bm00397j.","Ding YW","Biomater Sci","2022","2022/05/16","","","10.1039/d2bm00397j"
"26356299","Curbing Inflammation in Skin Wound Healing: A Review","Rosique RG, Rosique MJ, Farina Junior JA.","Int J Inflam. 2015;2015:316235. doi: 10.1155/2015/316235. Epub 2015 Aug 18.","Rosique RG","Int J Inflam","2015","2015/09/11","PMC4556061","","10.1155/2015/316235"
"35893955","Insights into the Design of Polyurethane Dressings Suitable for the Stages of Skin Wound-Healing: A Systematic Review","Morales-González M, Díaz LE, Dominguez-Paz C, Valero MF.","Polymers (Basel). 2022 Jul 24;14(15):2990. doi: 10.3390/polym14152990.","Morales-González M","Polymers (Basel)","2022","2022/07/27","PMC9331473","","10.3390/polym14152990"
"30392058","Wound healing mechanism in Mongolian gerbil skin","Lee MJ, Lee DJ, Jung HS.","Histochem Cell Biol. 2019 Mar;151(3):229-238. doi: 10.1007/s00418-018-1752-z. Epub 2018 Nov 3.","Lee MJ","Histochem Cell Biol","2019","2018/11/05","","","10.1007/s00418-018-1752-z"
"36785490","Role of macrophage polarisation in skin wound healing","Gao X, Lu C, Miao Y, Ren J, Cai X.","Int Wound J. 2023 Sep;20(7):2551-2562. doi: 10.1111/iwj.14119. Epub 2023 Feb 13.","Gao X","Int Wound J","2023","2023/02/14","PMC10410349","","10.1111/iwj.14119"
"28289554","Non-Coding RNAs: New Players in Skin Wound Healing","Herter EK, Xu Landén N.","Adv Wound Care (New Rochelle). 2017 Mar 1;6(3):93-107. doi: 10.1089/wound.2016.0711.","Herter EK","Adv Wound Care (New Rochelle)","2017","2017/03/15","PMC5346954","","10.1089/wound.2016.0711"
"31755172","Prospective application of exosomes derived from adipose-derived stem cells in skin wound healing: A review","Qiu H, Liu S, Wu K, Zhao R, Cao L, Wang H.","J Cosmet Dermatol. 2020 Mar;19(3):574-581. doi: 10.1111/jocd.13215. Epub 2019 Nov 21.","Qiu H","J Cosmet Dermatol","2020","2019/11/23","","","10.1111/jocd.13215"
"33806146","Skin Wound-Healing Potential of Polysaccharides from Medicinal Mushroom Auricularia auricula-judae (Bull.)","Mapoung S, Umsumarng S, Semmarath W, Arjsri P, Thippraphan P, Yodkeeree S, Limtrakul Dejkriengkraikul P.","J Fungi (Basel). 2021 Mar 25;7(4):247. doi: 10.3390/jof7040247.","Mapoung S","J Fungi (Basel)","2021","2021/04/03","PMC8064461","","10.3390/jof7040247"
"31231485","The role of Iranian medicinal plants in experimental surgical skin wound healing: An integrative review","Derakhshanfar A, Moayedi J, Derakhshanfar G, Poostforoosh Fard A.","Iran J Basic Med Sci. 2019 Jun;22(6):590-600. doi: 10.22038/ijbms.2019.32963.7873.","Derakhshanfar A","Iran J Basic Med Sci","2019","2019/06/25","PMC6570749","","10.22038/ijbms.2019.32963.7873"
"28115750","Models for the study of skin wound healing. The role of Nrf2 and NF-κB","Ambrozova N, Ulrichova J, Galandakova A.","Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub. 2017 Mar;161(1):1-13. doi: 10.5507/bp.2016.063. Epub 2017 Jan 6.","Ambrozova N","Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub","2017","2017/01/25","","","10.5507/bp.2016.063"
"37470022","Dasatinib Ointment Promotes Healing of Murine Excisional Skin Wound","Wichaiyo S, Svasti S, Maiuthed A, Rukthong P, Goli AS, Morales NP.","ACS Pharmacol Transl Sci. 2023 Jun 9;6(7):1015-1027. doi: 10.1021/acsptsci.2c00245. eCollection 2023 Jul 14.","Wichaiyo S","ACS Pharmacol Transl Sci","2023","2023/07/20","PMC10353058","","10.1021/acsptsci.2c00245"
"34234270","Resveratrol promotes skin wound healing by regulating the miR-212/CASP8 axis","Liu Y, Xiong W, Wang CW, Shi JP, Shi ZQ, Zhou JD.","Lab Invest. 2021 Oct;101(10):1363-1370. doi: 10.1038/s41374-021-00621-6. Epub 2021 Jul 7.","Liu Y","Lab Invest","2021","2021/07/08","","","10.1038/s41374-021-00621-6"
"37067766","Advances in mesenchymal stem/stromal cell-based therapy and their extracellular vesicles for skin wound healing","Saadh MJ, Ramírez-Coronel AA, Saini RS, Arias-Gonzáles JL, Amin AH, Gavilán JCO, Sârbu I.","Hum Cell. 2023 Jul;36(4):1253-1264. doi: 10.1007/s13577-023-00904-8. Epub 2023 Apr 17.","Saadh MJ","Hum Cell","2023","2023/04/17","","","10.1007/s13577-023-00904-8"
"38106716","A Comprehensive Review on Platelet-Rich Plasma Activation: A Key Player in Accelerating Skin Wound Healing","Patel H, Pundkar A, Shrivastava S, Chandanwale R, Jaiswal AM.","Cureus. 2023 Nov 17;15(11):e48943. doi: 10.7759/cureus.48943. eCollection 2023 Nov.","Patel H","Cureus","2023","2023/12/18","PMC10725573","","10.7759/cureus.48943"
"37972830","Advances of regenerated and functionalized silk biomaterials and application in skin wound healing","Wang SL, Li XW, Xu W, Yu QY, Fang SM.","Int J Biol Macromol. 2023 Nov 14;254(Pt 3):128024. doi: 10.1016/j.ijbiomac.2023.128024. Online ahead of print.","Wang SL","Int J Biol Macromol","2023","2023/11/16","","","10.1016/j.ijbiomac.2023.128024"
"37122849","Potential genetic therapies based on m6A methylation for skin regeneration: Wound healing and scars/keloids","Luo X, Zhu S, Li J, Zeng N, Wang H, Wu Y, Wang L, Liu Z.","Front Bioeng Biotechnol. 2023 Apr 13;11:1143866. doi: 10.3389/fbioe.2023.1143866. eCollection 2023.","Luo X","Front Bioeng Biotechnol","2023","2023/05/01","PMC10133496","","10.3389/fbioe.2023.1143866"
"37061123","Metabolic Reprogramming and Reliance in Human Skin Wound Healing","Manchanda M, Torres M, Inuossa F, Bansal R, Kumar R, Hunt M, Wheelock CE, Bachar-Wikstrom E, Wikstrom JD.","J Invest Dermatol. 2023 Oct;143(10):2039-2051.e10. doi: 10.1016/j.jid.2023.02.039. Epub 2023 Apr 14.","Manchanda M","J Invest Dermatol","2023","2023/04/15","","","10.1016/j.jid.2023.02.039"
"37091432","Promoted Skin Wound Healing by Tail-Amputated Eisenia foetida Proteins via the Ras/Raf/MEK/ERK Signaling Pathway","Li T, Sun Y, Wang J, Zhang C, Sun Y.","ACS Omega. 2023 Apr 5;8(15):13935-13943. doi: 10.1021/acsomega.3c00317. eCollection 2023 Apr 18.","Li T","ACS Omega","2023","2023/04/24","PMC10116500","","10.1021/acsomega.3c00317"
"37829622","Retracted: Porcine Fibrin Sealant Promotes Skin Wound Healing in Rats","And Alternative Medicine EC.","Evid Based Complement Alternat Med. 2023 Oct 4;2023:9757140. doi: 10.1155/2023/9757140. eCollection 2023.","And Alternative Medicine EC","Evid Based Complement Alternat Med","2023","2023/10/13","PMC10567363","","10.1155/2023/9757140"
"26000170","Effects and mechanisms of a microcurrent dressing on skin wound healing: a review","Yu C, Hu ZQ, Peng RY.","Mil Med Res. 2014 Nov 24;1:24. doi: 10.1186/2054-9369-1-24. eCollection 2014.","Yu C","Mil Med Res","2014","2015/05/23","PMC4440595","","10.1186/2054-9369-1-24"
"36644388","Ginseng-derived nanoparticles induce skin cell proliferation and promote wound healing","Yang S, Lu S, Ren L, Bian S, Zhao D, Liu M, Wang J.","J Ginseng Res. 2023 Jan;47(1):133-143. doi: 10.1016/j.jgr.2022.07.005. Epub 2022 Aug 17.","Yang S","J Ginseng Res","2023","2023/01/16","PMC9834025","","10.1016/j.jgr.2022.07.005"
"34052571","Graphene oxide-cellulose nanocomposite accelerates skin wound healing","Soliman M, Sadek AA, Abdelhamid HN, Hussein K.","Res Vet Sci. 2021 Jul;137:262-273. doi: 10.1016/j.rvsc.2021.05.013. Epub 2021 May 21.","Soliman M","Res Vet Sci","2021","2021/05/30","","","10.1016/j.rvsc.2021.05.013"
"35412017","In vitro study of the mesenchymal stem cells-conditional media role in skin wound healing process: A systematic review","Heydari MB, Ghanbari-Movahed Z, Heydari M, Farzaei MH.","Int Wound J. 2022 Dec;19(8):2210-2223. doi: 10.1111/iwj.13796. Epub 2022 Apr 12.","Heydari MB","Int Wound J","2022","2022/04/12","PMC9705190","","10.1111/iwj.13796"
"36835248","Dipotassium Glycyrrhizininate Improves Skin Wound Healing by Modulating Inflammatory Process","Leite CDS, Bonafé GA, Pires OC, Santos TWD, Pereira GP, Pereira JA, Rocha T, Martinez CAR, Ortega MM, Ribeiro ML.","Int J Mol Sci. 2023 Feb 14;24(4):3839. doi: 10.3390/ijms24043839.","Leite CDS","Int J Mol Sci","2023","2023/02/25","PMC9965141","","10.3390/ijms24043839"
"32314222","Investigation of Skin Wound Healing Using a Mouse Model","Wu J, Landén NX.","Methods Mol Biol. 2020;2154:239-247. doi: 10.1007/978-1-0716-0648-3_20.","Wu J","Methods Mol Biol","2020","2020/04/22","","","10.1007/978-1-0716-0648-3_20"
"22332789","Roles of lactoferrin on skin wound healing","Takayama Y, Aoki R.","Biochem Cell Biol. 2012 Jun;90(3):497-503. doi: 10.1139/o11-054. Epub 2012 Feb 14.","Takayama Y","Biochem Cell Biol","2012","2012/02/16","","","10.1139/o11-054"
"36734730","Topical silver nanoparticles reduced with ethylcellulose enhance skin wound healing","Abdellatif AAH, Alhumaydhi FA, Al Rugaie O, Tolba NS, Mousa AM.","Eur Rev Med Pharmacol Sci. 2023 Jan;27(2):744-754. doi: 10.26355/eurrev_202301_31077.","Abdellatif AAH","Eur Rev Med Pharmacol Sci","2023","2023/02/03","","","10.26355/eurrev_202301_31077"
