journal,doi,title,abstract,comment,rating
Int J Mol Sci,10.3390/ijms20205086,Gene Expression Profiling of the Extracellular Matrix Signature in Macrophages of Different Activation Status: Relevance for Skin Wound Healing,"The extracellular matrix (ECM) provides structural support for tissue architecture and is a major effector of cell behavior during skin repair and inflammation. Macrophages are involved in all stages of skin repair but only limited knowledge exists about macrophage-specific expression and regulation of ECM components. In this study, we used transcriptome profiling and bioinformatic analysis to define the unique expression of ECM-associated genes in cultured macrophages. Characterization of the matrisome revealed that most genes were constitutively expressed and that several genes were uniquely regulated upon interferon gamma (IFNγ) and dexamethasone stimulation. Among those core matrisome and matrisome-associated components transforming growth factor beta (TGFβ)-induced, matrix metalloproteinase 9 (MMP9), elastin microfibril interfacer (EMILIN)-1, netrin-1 and gliomedin were also present within the wound bed at time points that are characterized by profound macrophage infiltration. Hence, macrophages are a source of ECM components in vitro as well as during skin wound healing, and identification of these matrisome components is a first step to understand the role and therapeutic value of ECM components in macrophages and during wound healing.",experimental,
Int J Mol Sci,10.3390/ijms241210295,Do Curdlan Hydrogels Improved with Bioactive Compounds from Hop Exhibit Beneficial Properties for Skin Wound Healing,"Chronic wounds, among others, are mainly characterized by prolonged inflammation associated with the overproduction of reactive oxygen species and pro-inflammatory cytokines by immune cells. As a consequence, this phenomenon hinders or even precludes the regeneration process. It is known that biomaterials composed of biopolymers can significantly promote the process of wound healing and regeneration. The aim of this study was to establish whether curdlan-based biomaterials modified with hop compounds can be considered as promising candidates for the promotion of skin wound healing. The resultant biomaterials were subjected to an evaluation of their structural, physicochemical, and biological in vitro and in vivo properties. The conducted physicochemical analyses confirmed the incorporation of bioactive compounds (crude extract or xanthohumol) into the curdlan matrix. It was found that the curdlan-based biomaterials improved with low concentrations of hop compounds possessing satisfactory hydrophilicity, wettability, porosity, and absorption capacities. In vitro, tests showed that these biomaterials were non-cytotoxic, did not inhibit the proliferation of skin fibroblasts, and had the ability to inhibit the production of pro-inflammatory interleukin-6 by human macrophages stimulated with lipopolysaccharide. Moreover, in vivo studies showed that these biomaterials were biocompatible and could promote the regeneration process after injury (study on Danio rerio larvae model). Thus, it is worth emphasizing that this is the first paper demonstrating that a biomaterial based on a natural biopolymer (curdlan) improved with hop compounds may have biomedical potential, especially in the context of skin wound healing and regeneration.",experimental,
Int J Mol Sci,10.3390/ijms18061257,"Wound-Healing Studies in Cornea and Skin: Parallels, Differences and Opportunities","The cornea and the skin are both organs that provide the outer barrier of the body. Both tissues have developed intrinsic mechanisms that protect the organism from a wide range of external threats, but at the same time also enable rapid restoration of tissue integrity and organ-specific function. The easy accessibility makes the skin an attractive model system to study tissue damage and repair. Findings from skin research have contributed to unravelling novel fundamental principles in regenerative biology and the repair of other epithelial-mesenchymal tissues, such as the cornea. Following barrier disruption, the influx of inflammatory cells, myofibroblast differentiation, extracellular matrix synthesis and scar formation present parallel repair mechanisms in cornea and skin wound healing. Yet, capillary sprouting, while pivotal in proper skin wound healing, is a process that is rather associated with pathological repair of the cornea. Understanding the parallels and differences of the cellular and molecular networks that coordinate the wound healing response in skin and cornea are likely of mutual importance for both organs with regard to the development of regenerative therapies and understanding of the disease pathologies that affect epithelial-mesenchymal interactions. Here, we review the principal events in corneal wound healing and the mechanisms to restore corneal transparency and barrier function. We also refer to skin repair mechanisms and their potential implications for regenerative processes in the cornea.",review,
Int J Mol Sci,10.3390/ijms20174178,"Correction: Huang, H.-M., et al. Effects of Sapindus mukorossi Seed Oil on Skin Wound Healing: In Vivo and In Vitro Testing. Int. J. Mol. Sci. 2019, 20, 2579",The authors are sorry to report that some of the HPLC data reported in their recently published paper [...].,issue with earlier paper defined as suspicious,
Int J Mol Sci,10.3390/ijms221810155,Wound Healing Effect of Gintonin Involves Lysophosphatidic Acid Receptor/Vascular Endothelial Growth Factor Signaling Pathway in Keratinocytes,"Gintonin, a novel compound of ginseng, is a ligand of the lysophosphatidic acid (LPA) receptor. The in vitro and in vivo skin wound healing effects of gintonin remain unknown. Therefore, the objective of this study was to investigate the effects of gintonin on wound healing-linked responses, especially migration and proliferation, in skin keratinocytes HaCaT. In this study, 2,3-bis-(2-methoxy-4-nitro-5-sulfophenyl)-2H-tetrazolium-5-carboxanilide assay, Boyden chamber migration assay, scratch wound healing assay, and Western blot assay were performed. A tail wound mouse model was used for the in vivo test. Gintonin increased proliferation, migration, and scratch closure in HaCaT cells. It also increased the release of vascular endothelial growth factor (VEGF) in HaCaT cells. However, these increases, induced by gintonin, were markedly blocked by treatment with Ki16425, an LPA inhibitor, PD98059, an ERK inhibitor, 1,2-Bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid tetrakis (acetoxymethyl ester), a calcium chelator, and U73122, a PLC inhibitor. The VEGF receptor inhibitor axitinib also attenuated gintonin-enhanced HaCaT cell proliferation. Gintonin increased the phosphorylation of AKT and ERK1/2 in HaCaT cells. In addition, gintonin improved tail wound healing in mice. These results indicate that gintonin may promote wound healing through LPA receptor activation and/or VEGF release-mediated downstream signaling pathways. Thus, gintonin could be a beneficial substance to facilitate skin wound healing.",,suspicious   hypothesis
Int J Mol Sci,10.3390/ijms22010234,An Insight into the Role of Non-Porphyrinoid Photosensitizers for Skin Wound Healing,"The concept behind photodynamic therapy (PDT) is being successfully applied in different biomedical contexts such as cancer diseases, inactivation of microorganisms and, more recently, to improve wound healing and tissue regeneration. The effectiveness of PDT in skin treatments is associated with the role of reactive oxygen species (ROS) produced by a photosensitizer (PS), which acts as a ""double agent"". The release of ROS must be high enough to prevent microbial growth and, simultaneously, to accelerate the immune system response by recruiting important regenerative agents to the wound site. The growing interest in this subject is reflected by the increasing number of studies concerning the optimization of relevant experimental parameters for wound healing via PDT, namely, light features, the structure and concentration of the PS, and the wound type and location. Considering the importance of developing PSs with suitable features for this emergent topic concerning skin wound healing, in this review, a special focus on the achievements attained for each PS class, namely, of the non-porphyrinoid type, is given.",review,
Int J Mol Sci,10.3390/ijms17071001,"Platelet-Rich Plasma-Loaded Poly(d,l-lactide)-Poly(ethylene glycol)-Poly(d,l-lactide) Hydrogel Dressing Promotes Full-Thickness Skin Wound Healing in a Rodent Model","Traditional therapeutic methods for skin wounds have many disadvantages, and new wound dressings that can facilitate the healing process are thus urgently needed. Platelet-rich plasma (PRP) contains multiple growth factors (GFs) and shows a significant capacity to heal soft tissue wounds. However, these GFs have a short half-life and deactivate rapidly; we therefore need a sustained delivery system to overcome this shortcoming. In this study, poly(d,l-lactide)-poly(ethylene glycol)-poly(d,l-lactide) (PDLLA-PEG-PDLLA: PLEL) hydrogel was successfully created as delivery vehicle for PRP GFs and was evaluated systematically. PLEL hydrogel was injectable at room temperature and exhibited a smart thermosensitive in situ gel-formation behavior at body temperature. In vitro cell culture showed PRP-loaded PLEL hydrogel (PRP/PLEL) had little cytotoxicity, and promoted EaHy926 proliferation, migration and tube formation; the factor release assay additionally indicated that PLEL realized the controlled release of PRP GFs for as long as 14 days. When employed to treat rodents' full-thickness skin defects, PRP/PLEL showed a significantly better ability to raise the number of both newly formed and mature blood vessels compared to the control, PLEL and PRP groups. Furthermore, the PRP/PLEL-treated group displayed faster wound closure, better reepithelialization and collagen formation. Taken together, PRP/PLEL provides a promising strategy for promoting angiogenesis and skin wound healing, which extends the potential of this dressing for clinical application.",experimental,
Int J Mol Sci,10.3390/ijms24032936,Fascia Layer-A Novel Target for the Application of Biomaterials in Skin Wound Healing,"As the first barrier of the human body, the skin has been of great concern for its wound healing and regeneration. The healing of large, refractory wounds is difficult to be repaired by cell proliferation at the wound edges and usually requires manual intervention for treatment. Therefore, therapeutic tools such as stem cells, biomaterials, and cytokines have been applied to the treatment of skin wounds. Skin microenvironment modulation is a key technology to promote wound repair and skin regeneration. In recent years, a series of novel bioactive materials that modulate the microenvironment and cell behavior have been developed, showing the ability to efficiently facilitate wound repair and skin attachment regeneration. Meanwhile, our lab found that the fascial layer has an indispensable role in wound healing and repair, and this review summarizes the research progress of related bioactive materials and their role in wound healing.",review,
Int J Mol Sci,10.3390/ijms22083931,Contribution of Invariant Natural Killer T Cells to the Clearance of Pseudomonas aeruginosa from Skin Wounds,"Chronic infections are considered one of the most severe problems in skin wounds, and bacteria are present in over 90% of chronic wounds. Pseudomonas aeruginosa is frequently isolated from chronic wounds and is thought to be a cause of delayed wound healing. Invariant natural killer T (iNKT) cells, unique lymphocytes with a potent regulatory ability in various inflammatory responses, accelerate the wound healing process. In the present study, we investigated the contribution of iNKT cells in the host defense against P. aeruginosa inoculation at the wound sites. We analyzed the re-epithelialization, bacterial load, accumulation of leukocytes, and production of cytokines and antimicrobial peptides. In iNKT cell-deficient (Jα18KO) mice, re-epithelialization was significantly decreased, and the number of live colonies was significantly increased, when compared with those in wild-type (WT) mice on day 7. IL-17A, and IL-22 production was significantly lower in Jα18KO mice than in WT mice on day 5. Furthermore, the administration of α-galactosylceramide (α-GalCer), a specific activator of iNKT cells, led to enhanced host protection, as shown by reduced bacterial load, and to increased production of IL-22, IL-23, and S100A9 compared that of with WT mice. These results suggest that iNKT cells promote P. aeruginosa clearance during skin wound healing.","experimental, number of mice in experiment not stated",suspicious
Int J Mol Sci,10.3390/ijms23010257,Dermal White Adipose Tissue (dWAT) Is Regulated by Foxn1 and Hif-1α during the Early Phase of Skin Wound Healing,"Dermal white adipose tissue (dWAT) is involved in the maintenance of skin homeostasis. However, the studies concerning its molecular regulation are limited. In the present paper, we ask whether the introduction of two transcription factors, Foxn1 and Hif-1α, into the post-wounded skin of Foxn1-/- mice regulates dWAT during wound healing (days 3 and 6). We have chosen lentivirus vectors (LVs) as a tool to deliver Foxn1 and Hif-1α into the post-wounded skin. We documented that combinations of both transgenes reduces the number, size and diameter of dermal adipocytes at the wound bed area. The qRT-PCR analysis of pro-adipogenic genes, revealed that LV-Hif-1α alone, or combined with LV-Foxn1, increases the mRNA expression of Pparγ, Glut 4 and Fasn at post-wounding day 6. However, the most spectacular stimulatory effect of Foxn1 and/or Hif-1α was observed for Igf2, the growth factor participating in adipogenic signal transduction. Our data also shows that Foxn1/Hif-1α, at post-wounding day 3, reduces levels of CD68 and MIP-1γ mRNA expression and the percentage of CD68 positive cells in the wound site. In conclusion, the present data are the first to document that Foxn1 and Hif-1α cooperatively (1) regulate dWAT during the proliferative phase of skin wound healing through the Igf2 signaling pathway, and (2) reduce the macrophages content in the wound site.",experimental,
Int J Mol Sci,10.3390/ijms22137077,Hyaluronan as a Prominent Biomolecule with Numerous Applications in Medicine,"Hyaluronan (HA) is a natural glycosaminoglycan present in many tissues of all vertebrates. HA has various biological functions, which are dependent on its molar mass. High-molar-mass HA has anti-angiogenic, immunosuppressive and anti-inflammatory properties, while low-molar-mass HA has opposite effects. HA has also antioxidative properties, however on the other hand it can be readily degraded by reactive oxygen species. For many years it has been used in treatment of osteoarthritis, cosmetics and in ophthalmology. In the last years there has been a growing interest of HA to also be applied in other fields of medicine such as skin wound healing, tissue engineering, dentistry and gene delivery. In this review we summarize information on modes of HA administration, properties and effects of HA in various fields of medicine including recent progress in the investigation of HA.",review,
Int J Mol Sci,10.3390/ijms18071419,Diabetes and Wound Angiogenesis,"Diabetes Mellitus Type II (DM2) is a growing international health concern with no end in sight. Complications of DM2 involve a myriad of comorbidities including the serious complications of poor wound healing, chronic ulceration, and resultant limb amputation. In skin wound healing, which has definite, orderly phases, diabetes leads to improper function at all stages. While the etiology of chronic, non-healing diabetic wounds is multi-faceted, the progression to a non-healing phenotype is closely linked to poor vascular networks. This review focuses on diabetic wound healing, paying special attention to the aberrations that have been described in the proliferative, remodeling, and maturation phases of wound angiogenesis. Additionally, this review considers therapeutics that may offer promise to better wound healing outcomes.",review,
Int J Mol Sci,10.3390/ijms21103675,"Effect of Combining Low Temperature Plasma, Negative Pressure Wound Therapy, and Bone Marrow Mesenchymal Stem Cells on an Acute Skin Wound Healing Mouse Model","Low-temperature plasma (LTP; 3 min/day), negative pressure wound therapy (NPWT; 4 h/day), and bone marrow mesenchymal stem cells (MSCs; 1×106 cells/day) were used as mono- and combination therapy in an acute excisional skin wound-healing ICR mouse model. These therapies have been beneficial in treating wounds. We investigated the effectiveness of monotherapy with LTP, NPWT, and MSC and combination therapy with LTP + MSC, LTP + NPWT, NPWT + MSC, and LTP + NPWT + MSC on skin wounds in mice for seven consecutive days. Gene expression, protein expression, and epithelial thickness were analyzed using real time polymerase chain reaction (RT-qPCR), western blotting, and hematoxylin and eosin staining (H&E), respectively. Wound closure was also evaluated. Wound closure was significantly accelerated in monotherapy groups, whereas more accelerated in combination therapy groups. Tumor necrosis factor-α (TNF-α) expression was increased in the LTP monotherapy group but decreased in the NPWT, MSC, and combination therapy groups. Expressions of vascular endothelial growth factor (VEGF), α-smooth muscle actin (α-SMA), and type I collagen were increased in the combination therapy groups. Re-epithelialization was also considerably accelerated in combination therapy groups. Our findings suggest that combination therapy with LPT, NPWT, and MSC exert a synergistic effect on wound healing, representing a promising strategy for the treatment of acute wounds.","experimental, number of mice in experiment not stated",suspicious that they would get statistical significance
Int J Mol Sci,10.3390/ijms23137363,ICOSL Stimulation by ICOS-Fc Accelerates Cutaneous Wound Healing In Vivo,"BACKGROUND: ICOS and its ligand ICOSL are immune receptors whose interaction triggers bidirectional signals that modulate the immune response and tissue repair. AIM: The aim of this study was to assess the in vivo effects of ICOSL triggering by ICOS-Fc, a recombinant soluble form of ICOS, on skin wound healing. METHODS: The effect of human ICOS-Fc on wound healing was assessed, in vitro, and, in vivo, by skin wound healing assay using ICOS-/- and ICOSL-/- knockout (KO) mice and NOD-SCID-IL2R null (NSG) mice. RESULTS: We show that, in wild type mice, treatment with ICOS-Fc improves wound healing, promotes angiogenesis, preceded by upregulation of IL-6 and VEGF expression; increases the number of fibroblasts and T cells, whereas it reduces that of neutrophils; and increases the number of M2 vs. M1 macrophages. Fittingly, ICOS-Fc enhanced M2 macrophage migration, while it hampered that of M1 macrophages. ICOS-/- and ICOSL-/- KO, and NSG mice showed delayed wound healing, and treatment with ICOS-Fc improved wound closure in ICOS-/- and NSG mice. CONCLUSION: These data show that the ICOS/ICOSL network cooperates in tissue repair, and that triggering of ICOSL by ICOS-Fc improves cutaneous wound healing by increasing angiogenesis and recruitment of reparative macrophages.","experimental, number of mice in experiment not stated","suspicicous, worth to check actual paper"
